date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:15:42	31958/31958	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Apr%202017%2015:16:30%20GMT	http://corpthemes.com/html/sumi/blog-single.html	C:/My%20Web%20Sites/my%20new%20web/corpthemes.com/html/sumi/blog-single.html	(from http://corpthemes.com/html/sumi/?storefront=envato-elements)
17:15:42	27845/27845	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Apr%202017%2015:12:54%20GMT	http://corpthemes.com/html/sumi/about.html	C:/My%20Web%20Sites/my%20new%20web/corpthemes.com/html/sumi/about.html	(from http://corpthemes.com/html/sumi/?storefront=envato-elements)
17:15:43	21179/21179	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Apr%202017%2015:12:54%20GMT	http://corpthemes.com/html/sumi/gallary.html	C:/My%20Web%20Sites/my%20new%20web/corpthemes.com/html/sumi/gallary.html	(from http://corpthemes.com/html/sumi/?storefront=envato-elements)
17:15:43	19029/19029	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Apr%202017%2015:14:30%20GMT	http://corpthemes.com/html/sumi/contact.html	C:/My%20Web%20Sites/my%20new%20web/corpthemes.com/html/sumi/contact.html	(from http://corpthemes.com/html/sumi/?storefront=envato-elements)
17:15:52	45475/45475	---M--	200	added ('OK')	image/jpeg	date:Mon,%2012%20Dec%202016%2016:56:06%20GMT	http://corpthemes.com/html/sumi/images/imagebox/2.jpg	C:/My%20Web%20Sites/my%20new%20web/corpthemes.com/html/sumi/images/imagebox/2.jpg	(from http://corpthemes.com/html/sumi/?storefront=envato-elements)
17:15:58	39894/39894	---M--	200	added ('OK')	image/jpeg	date:Mon,%2012%20Dec%202016%2016:58:34%20GMT	http://corpthemes.com/html/sumi/images/imagebox/3.jpg	C:/My%20Web%20Sites/my%20new%20web/corpthemes.com/html/sumi/images/imagebox/3.jpg	(from http://corpthemes.com/html/sumi/?storefront=envato-elements)
17:16:06	45036/45036	---M--	200	added ('OK')	image/jpeg	date:Mon,%2012%20Dec%202016%2016:59:22%20GMT	http://corpthemes.com/html/sumi/images/imagebox/4.jpg	C:/My%20Web%20Sites/my%20new%20web/corpthemes.com/html/sumi/images/imagebox/4.jpg	(from http://corpthemes.com/html/sumi/?storefront=envato-elements)
17:16:09	16521/16521	---M--	200	added ('OK')	image/png	date:Mon,%2012%20Dec%202016%2023:38:24%20GMT	http://corpthemes.com/html/sumi/images/menufood/1.png	C:/My%20Web%20Sites/my%20new%20web/corpthemes.com/html/sumi/images/menufood/1.png	(from http://corpthemes.com/html/sumi/?storefront=envato-elements)
17:16:12	16415/16415	---M--	200	added ('OK')	image/png	date:Mon,%2012%20Dec%202016%2023:39:10%20GMT	http://corpthemes.com/html/sumi/images/menufood/2.png	C:/My%20Web%20Sites/my%20new%20web/corpthemes.com/html/sumi/images/menufood/2.png	(from http://corpthemes.com/html/sumi/?storefront=envato-elements)
17:16:15	16521/16521	---M--	200	added ('OK')	image/png	date:Mon,%2012%20Dec%202016%2023:40:00%20GMT	http://corpthemes.com/html/sumi/images/menufood/3.png	C:/My%20Web%20Sites/my%20new%20web/corpthemes.com/html/sumi/images/menufood/3.png	(from http://corpthemes.com/html/sumi/?storefront=envato-elements)
